,acc.date,type,reg,operator,fat,location,dmg
371,2021-09-17,Canadair CRJ-200LR,N444ZW,"United Express, opb Air Wisconsin",0.0,"Asheville Regional Airport, NC (AVL)",sub
372,2021-09-20,Learjet 35A,ZS-SFV,Impuma Group,0.0,Lanseria International Airport (HLA),sub
373,2021-09-22,Antonov An-26KPA,RA-26673,LPS Flight Checks & Systems,6.0,40 km SW of Khabarovsk,w/o
374,2021-09-23,Airbus A321-271N,N208HA,Hawaiian Airlines,0.0,"Honolulu-Daniel K. Inouye International Airport, HI (HNL)",sub
375,2021-09-25,Cessna 208B Supervan 900,OO-FFB,Paracentrum Vlaanderen,0.0,Moorsele Airfield (EBMO),sub
376,2021-09-27,Saab 340B,UR-ALG,"STP Airways, lsf AeroJet",0.0,São Tomé Island Airport (TMS/FPST),sub
377,2021-09-27,Boeing 757-224 (WL),N12125,United Airlines,0.0,"Newark-Liberty International Airport, NJ (EWR)",sub
378,2021-09-28,IAI 1124A Westwind II,PR-BVB,Brasil Vida Táxi Aéreo,0.0,"Goiânia-Santa Genoveva Airport, GO (GYN)",sub
379,2021-09-29,Britten-Norman BN-2B-26 Islander,J8-VBI,SVG Air,0.0,Montserrat-John A. Osborne Airport (MNI),sub
380,2021-10-01,Embraer ERJ-175LR,N730YX,"United Express, opb Republic Airlines",0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub
381,2021-10-01,Embraer ERJ-175LR,N142SY,"United Express, opb SkyWest Airlines",0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",min
382,2021-10-05,Dassault Falcon 20C,N283SA,Sierra West Airlines,2.0,"1,3 km W of Thomson-McDuffie County Airport, GA",w/o
383,2021-10-08,Boeing 737-8H4 (WL),N8642E,Southwest Airlines,0.0,"Lexington, Virginia",non
384,2021-10-08,Learjet 35A,unreg.,private,0.0,"near Little Belize, Corozal",w/o
385,2021-10-10,Let L-410UVP-E3,RF-94591,DOSAAF,16.0,"1,7 km E of Menzelinsk Airport",w/o
386,2021-10-13,Bombardier BD-700-1A10 Global 6000,9H-VJM,VistaJet,0.0,Johannesburg-O.R. Tambo International Airport (JNB),sub
387,2021-10-14,Antonov An-2T,N857PF,private,0.0,"near Wilton-Alta Mesa Airpark, CA",w/o
388,2021-10-15,Cessna 208B Grand Caravan,8R-GFA,Air Services Limited - ASL,1.0,Kamarang Airport (KAR/SYKM),non
389,2021-10-18,Beechcraft 200 Super King Air,N996LM,Lowcountry Aviation Co Brokerage LLC,0.0,"Mount Pleasant Regional-Faison field, SC (KLRO)",sub
390,2021-10-19,Antonov An-2R,RA-33350,AeroUral,0.0,"near Alapayevsk, Sverdlovsk region",sub
391,2021-10-19,Rockwell Sabreliner 60,XB-ETV,private,0.0,Jacmel Airport (JAK),sub
392,2021-10-19,McDonnell Douglas MD-87,N987AK,987 Investments LLC,0.0,"Houston Executive Airport, TX (KTME)",w/o
393,2021-10-22,Embraer EMB-500 Phenom 100,N925DR,Scout About LLC,0.0,"Orlando International Airport, FL (MCO)",sub
394,2021-10-22,Cessna 208B Supervan 900,N754KP,Alaska Seaplanes,0.0,"Juneau International Airport, AK (JNU)",sub
395,2021-10-23,Embraer ERJ-175LR,N252NN,"Envoy Air, opf American Eagle",0.0,"Miami International Airport, FL (MIA/KMIA)",non
396,2021-10-25,Cessna 208 Caravan I,PK-SNN,Smart Cakrawala Aviation,1.0,Ilaga Airport (ILA),w/o
397,2021-10-29,Cessna 208B Grand Caravan,PK-RVH,Reven Global Transpor,0.0,Dagi Baru Airstrip,w/o
398,2021-10-30,Beechcraft 200 King Air,C-GEHS,"PAL Airlines, opf EHS LifeFlight Services",0.0,"Halifax-Stanfield International Airport, NS (YHZ/CYHZ)",sub
399,2021-11-01,de Havilland Canada DHC-6 Twin Otter 300,C-GNPS,Air Tindi,0.0,"12,4 km NW of Fort Providence, NT",sub
400,2021-11-02,Antonov An-26,TR-NGT,"Optimum Aviation, opf Euro Airlines",5.0,"2,5 km N of Juba Airport (JUB)",w/o
401,2021-11-03,Beechcraft Super King Air,,private,0.0,western Venezuela,w/o
